PC1,PC2,PC3,PC4,PC5,Year,Summer electricity use per capita,Million_Loss_From_Climate,GHG_Emission,Heat_Deaths_Underlying,Lyme_Incidence,Area harvested,Area per capita,Gross Production Value (current thousand US$),Production,Yield
-3.718017207323188,-0.8758203072412902,0.3682583197940514,0.0352905122122405,0.4715515157321767,1950,,,,,,,,,,
-2.442071443399543,0.4213255166668629,-0.9559211265853504,0.4915984711918606,0.8243085746010833,1951,,,,,,,,,,
-3.522461819028186,-0.4913325250629486,1.1585705090732388,-0.578319618238737,1.0118351549739888,1952,,,,,,,,,,
-3.537455963618613,2.000403342560574,0.1699003409790806,-0.0237534565812677,0.7811346031219454,1953,,,,,,,,,,
-3.953721446597057,-1.2616783193925538,1.7359054664287783,0.4153971422982427,0.3263852559867384,1954,,,,,,,,,,
-2.9055471010822056,-1.1505544844251645,0.5226892723884552,-0.2824644911804749,1.550694973575154,1955,,,,,,,,,,
-4.930999077892449,-1.2792590975039924,3.3579748196066967,-0.6384944743933358,1.071081118609316,1956,,,,,,,,,,
-1.9373965028504287,0.5338567313520727,-0.6966338154713441,0.2186722870912763,-0.1797326320637345,1957,,,,,,,,,,
-0.8744359368905861,-1.083218508361706,0.934150084339619,-0.5299586196945946,1.1276250909778998,1958,,,,,,,,,,
-1.7911323005495268,-1.4632592808345006,-0.3673812286467811,-0.3237579908439048,-0.3339270111705759,1959,,,,,,,,,,
-0.7329373908364799,-0.5271873625212988,-0.4535387111741465,1.8991097154955787,0.6037222541943356,1960,,,,,,,,,,
-0.8199554319899085,-1.0000097695549048,-0.6180442491453612,1.1797834093665849,0.579543061644758,1961,,,,,,971285874.0,0.4392,,2721667060.02,8660516.0
-2.6691463875529777,-0.949347501947978,0.938105294549458,-0.1705205155635223,1.0456728096232926,1962,,,,,,987234256.0,0.4319,,2781538131.38,8439018.0
-3.483918758231866,1.4745231592223884,1.0870174004343467,1.5812382763323585,-0.9192532623573736,1963,,,,,,999568589.0,0.4243,,2843373319.68,8454978.0
-2.957664648975447,-1.5816275200671723,2.1383859151039077,0.1152446439138158,0.0326900641986319,1964,,,,,,1016441942.0,0.4157,,3038742860.01,8616917.0
-3.2209264733406875,-1.729929187972394,1.1350283413838076,-0.2846152117780197,-0.2521823152699828,1965,,,,,,1010682709.0,0.408,,3095398085.34,8559899.0
-1.1372574999147105,-0.0695710503810826,-0.7371893639073467,-0.0332766371724386,0.171031615821582,1966,,,,,,1007968117.0,0.3996,,3226339336.15,8780118.0
-2.715283831819787,0.6223004248942303,-1.375191472186533,1.5531230504803124,-1.3981527529103916,1967,,,,,,1021208454.0,0.3922,,3326167427.8,8928950.0
-2.6725167980376354,-0.0186913429187774,0.1156327871216513,1.2727996051993369,-0.5188367827970464,1968,,,,,,1024024285.0,0.3877,,3402406083.37,9136960.0
-2.6489664652968767,0.7453974484921364,1.0532931000064032,0.5366591435864015,-0.9053579654162924,1969,,,,,,1026516833.0,0.382,,3411730450.69,9057895.0
-2.114692720032688,0.4541430008466665,0.3587200268496749,0.4618867838113369,0.2446470433205764,1970,,,,,,1025933784.0,0.374,,3583324843.06,9147378.0
-1.97885607428902,0.4593469594163205,-1.8185136206339945,0.3695073737247148,-0.2191182033546669,1971,,,,,,1039943611.0,0.3658,,3665190787.45,9155148.0
-2.811510006743207,4.013382753422113,-1.7059991618715376,0.3619979019035639,-0.3055323333355572,1972,,,,,,1032410467.0,0.3602,,3605378364.54,8983054.0
-1.8802524780192849,1.4621434858059827,0.4549062473858579,-1.9444533601677043,0.6531471363763881,1973,734.9870316,,,,,1063133204.0,0.3538,,3887246345.49,9278758.0
-1.3293812222084598,0.6646227814583263,-2.081829457613652,0.4079696476353432,1.3796009555307127,1974,732.9992787,,,,,1067759521.0,0.3478,,3862957960.51,9096831.0
-1.234863796868459,0.98659297163787,-1.5462930628496077,0.0591989834614544,1.054145014796702,1975,731.2355023,,,,,1078157431.0,0.3417,,3940133983.27,9210297.0
-4.422638220670028,0.0928298304618368,-1.1817445242711004,-0.4444255536027987,-1.3305510235101283,1976,715.6246114,,,,,1084386180.0,0.3373,,4126374721.84,9237005.0
-1.5316731371301986,-0.4145342950848056,-1.647758693479081,0.2044348996059146,-0.2700592950437452,1977,784.1205455,,,,,1094177424.0,0.3329,,4228552971.15,9381821.0
-2.542915977444269,1.4109259351725738,-0.1290351156481743,-0.0636273788334458,0.9615634065388396,1978,792.1235465,,,,,1102310233.0,0.3298,,4457472899.72,9522819.0
-2.1529489411463163,2.566540749496561,-0.390400964095069,-0.3360581976610266,-0.7116870605964738,1979,768.0698047,,,0.24038954,,1097089846.0,0.3255,,4432079305.21,9536494.0
-2.7040940485946288,0.5856712274421811,1.0398018537124651,0.151892200422398,-0.3457523688170328,1980,859.6907613,6390.0,,2.87259485,,1106983274.0,0.3205,,4355893970.18,9218254.0
